"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pbachp","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013420104","AZ","04013420104","=""04013420104""","31.02","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420105","AZ","04013420105","=""04013420105""","53.02","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420107","AZ","04013420107","=""04013420107""","57.21","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420109","AZ","04013420109","=""04013420109""","41.32","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420112","AZ","04013420112","=""04013420112""","21.75","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420113","AZ","04013420113","=""04013420113""","27.98","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420206","AZ","04013420206","=""04013420206""","31.15","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420207","AZ","04013420207","=""04013420207""","51.05","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420208","AZ","04013420208","=""04013420208""","31.56","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420210","AZ","04013420210","=""04013420210""","31.94","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420211","AZ","04013420211","=""04013420211""","50.56","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420212","AZ","04013420212","=""04013420212""","35.77","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420213","AZ","04013420213","=""04013420213""","35.70","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420215","AZ","04013420215","=""04013420215""","41.56","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420216","AZ","04013420216","=""04013420216""","41.04","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420301","AZ","04013420301","=""04013420301""","59.31","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420302","AZ","04013420302","=""04013420302""","45.19","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420303","AZ","04013420303","=""04013420303""","42.20","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420304","AZ","04013420304","=""04013420304""","44.49","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420401","AZ","04013420401","=""04013420401""","21.99","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420402","AZ","04013420402","=""04013420402""","51.23","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420503","AZ","04013420503","=""04013420503""","24.64","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420504","AZ","04013420504","=""04013420504""","27.40","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420505","AZ","04013420505","=""04013420505""","33.79","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420506","AZ","04013420506","=""04013420506""","31.69","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420602","AZ","04013420602","=""04013420602""","39.83","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420603","AZ","04013420603","=""04013420603""","41.98","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420604","AZ","04013420604","=""04013420604""","44.06","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420704","AZ","04013420704","=""04013420704""","37.05","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420705","AZ","04013420705","=""04013420705""","56.24","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420706","AZ","04013420706","=""04013420706""","42.46","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420707","AZ","04013420707","=""04013420707""","31.68","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420708","AZ","04013420708","=""04013420708""","19.72","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420709","AZ","04013420709","=""04013420709""","33.10","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420710","AZ","04013420710","=""04013420710""","33.14","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420800","AZ","04013420800","=""04013420800""","28.13","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420901","AZ","04013420901","=""04013420901""","22.42","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420902","AZ","04013420902","=""04013420902""","31.13","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421001","AZ","04013421001","=""04013421001""","27.62","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421002","AZ","04013421002","=""04013421002""","30.20","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421101","AZ","04013421101","=""04013421101""","24.40","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421102","AZ","04013421102","=""04013421102""","32.97","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421201","AZ","04013421201","=""04013421201""","32.15","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421202","AZ","04013421202","=""04013421202""","32.02","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421302","AZ","04013421302","=""04013421302""","22.05","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421303","AZ","04013421303","=""04013421303""","19.31","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421304","AZ","04013421304","=""04013421304""","31.70","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421400","AZ","04013421400","=""04013421400""","32.40","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421501","AZ","04013421501","=""04013421501""","18.74","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421502","AZ","04013421502","=""04013421502""","16.34","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421601","AZ","04013421601","=""04013421601""","20.71","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421602","AZ","04013421602","=""04013421602""","15.71","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421701","AZ","04013421701","=""04013421701""","21.71","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421702","AZ","04013421702","=""04013421702""","24.22","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421801","AZ","04013421801","=""04013421801""","12.10","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421802","AZ","04013421802","=""04013421802""","12.79","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421901","AZ","04013421901","=""04013421901""","13.57","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421902","AZ","04013421902","=""04013421902""","4.37","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013422001","AZ","04013422001","=""04013422001""","5.98","2020-2024","2022","Census","Mesa (City, 2020)"
