"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013420104","AZ","04013420104","=""04013420104""","87.13","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420105","AZ","04013420105","=""04013420105""","67.98","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420107","AZ","04013420107","=""04013420107""","58.62","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420109","AZ","04013420109","=""04013420109""","78.81","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420112","AZ","04013420112","=""04013420112""","82.77","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420113","AZ","04013420113","=""04013420113""","76.77","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420206","AZ","04013420206","=""04013420206""","77.82","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420207","AZ","04013420207","=""04013420207""","69.55","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420208","AZ","04013420208","=""04013420208""","75.59","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420210","AZ","04013420210","=""04013420210""","85.49","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420211","AZ","04013420211","=""04013420211""","77.25","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420212","AZ","04013420212","=""04013420212""","78.46","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420213","AZ","04013420213","=""04013420213""","59.10","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420215","AZ","04013420215","=""04013420215""","86.72","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420216","AZ","04013420216","=""04013420216""","73.44","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420301","AZ","04013420301","=""04013420301""","66.89","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420302","AZ","04013420302","=""04013420302""","72.83","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420303","AZ","04013420303","=""04013420303""","76.49","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420304","AZ","04013420304","=""04013420304""","81.86","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420401","AZ","04013420401","=""04013420401""","85.74","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420402","AZ","04013420402","=""04013420402""","74.27","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420503","AZ","04013420503","=""04013420503""","81.65","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420504","AZ","04013420504","=""04013420504""","77.74","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420505","AZ","04013420505","=""04013420505""","81.55","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420506","AZ","04013420506","=""04013420506""","74.62","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420602","AZ","04013420602","=""04013420602""","83.13","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420603","AZ","04013420603","=""04013420603""","78.78","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420604","AZ","04013420604","=""04013420604""","70.42","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420704","AZ","04013420704","=""04013420704""","74.65","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420705","AZ","04013420705","=""04013420705""","78.96","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420706","AZ","04013420706","=""04013420706""","78.19","2020-2024","2022","Census","Mesa (City, 2020)"
