fips,obesity_pct,median_income,uninsured_pct,bachelors_pct,drove_pct,population
04013420104,30.5,101172.0,6.44,31.02,87.13,5691
04013420105,27.5,117853.0,2.22,53.02,67.98,6609
04013420107,27.2,146985.0,1.47,57.21,58.62,7067
04013420109,29.0,129375.0,2.34,41.32,78.81,6488
04013420112,29.6,100156.0,12.92,21.75,82.77,3135
04013420113,30.2,45511.0,8.5,27.98,76.77,3227
04013420206,27.8,62500.0,7.65,31.15,77.82,3767
04013420207,26.7,167656.0,0.72,51.05,69.55,2637
04013420208,30.9,106302.0,4.92,31.56,75.59,5610
04013420210,29.5,101344.0,8.77,31.94,85.49,5395
04013420211,27.7,133520.0,5.56,50.56,77.25,4604
04013420212,27.6,100188.0,7.29,35.77,78.46,2885
04013420213,28.3,57566.0,1.1,35.7,59.1,2095
04013420215,29.9,131833.0,5.74,41.56,86.72,3560
04013420216,28.4,74129.0,4.1,41.04,73.44,3596
04013420301,26.4,138580.0,1.24,59.31,66.89,1880
04013420302,29.4,133309.0,7.75,45.19,72.83,4826
04013420303,29.8,110213.0,6.65,42.2,76.49,4632
04013420304,26.7,205833.0,3.68,44.49,81.86,897
04013420401,34.4,57625.0,14.43,21.99,85.74,3798
04013420402,26.9,160000.0,4.43,51.23,74.27,4872
04013420503,32.8,65357.0,7.7,24.64,81.65,3246
04013420504,31.6,86814.0,7.99,27.4,77.74,3704
04013420505,30.0,106375.0,12.16,33.79,81.55,2863
04013420506,32.8,56138.0,14.29,31.69,74.62,3421
04013420602,30.0,123824.0,9.56,39.83,83.13,4826
04013420603,27.6,109107.0,4.51,41.98,78.78,4231
04013420604,27.2,107188.0,6.14,44.06,70.42,4631
04013420704,31.5,101198.0,6.13,37.05,74.65,5646
04013420705,25.4,166458.0,4.08,56.24,78.96,3457
04013420706,28.9,106186.0,8.84,42.46,78.19,5307
04013420707,31.1,60995.0,3.27,31.68,81.98,1832
04013420708,32.6,50934.0,2.65,19.72,77.98,3737
04013420709,30.3,48900.0,4.45,33.1,77.26,3396
04013420710,31.8,58729.0,8.91,33.14,84.0,3356
04013420800,31.3,85396.0,14.61,28.13,82.57,5106
04013420901,33.0,70721.0,14.2,22.42,81.82,3075
04013420902,30.9,101275.0,15.89,31.13,89.57,4147
04013421001,33.8,51601.0,12.4,27.62,78.03,4148
04013421002,32.6,52171.0,18.53,30.2,75.18,3394
04013421101,34.0,78860.0,11.25,24.4,84.34,4713
04013421102,31.7,92745.0,19.7,32.97,82.09,6778
04013421201,29.3,84578.0,8.94,32.15,80.93,5368
04013421202,31.8,93056.0,6.36,32.02,69.85,3691
04013421302,37.0,59015.0,16.67,22.05,83.35,5928
04013421303,32.0,74916.0,20.99,19.31,86.16,4994
04013421304,30.3,52433.0,7.78,31.7,68.1,3895
04013421400,33.4,49958.0,19.44,32.4,73.1,2973
04013421501,38.0,50475.0,9.25,18.74,85.06,4320
04013421502,37.7,55023.0,25.23,16.34,83.94,3977
04013421601,35.6,85795.0,11.6,20.71,80.9,3156
04013421602,37.0,46228.0,30.81,15.71,83.95,4301
04013421701,33.8,58696.0,17.15,21.71,78.3,5290
04013421702,38.4,48647.0,10.04,24.22,88.35,3644
04013421801,31.7,75598.0,23.33,12.1,66.6,2903
04013421802,37.2,68875.0,21.98,12.79,83.61,4396
04013421901,35.0,81821.0,35.7,13.57,86.53,4457
04013421902,41.1,54865.0,32.53,4.37,89.04,5922
04013422001,38.7,58194.0,37.72,5.98,93.67,4157
04013422002,36.8,49774.0,33.16,13.23,85.29,4089
04013422102,34.5,45357.0,15.41,18.68,87.26,4180
04013422103,33.7,52778.0,11.3,22.23,82.04,4594
04013422104,34.7,66726.0,21.05,26.21,70.89,5635
04013422105,31.2,76852.0,17.13,26.05,79.16,3135
04013422106,35.6,58093.0,17.26,11.41,76.34,6090
04013422107,34.0,65766.0,13.51,35.03,75.64,4590
04013422203,31.1,54324.0,22.94,24.98,75.35,5912
04013422212,27.1,104861.0,2.25,52.29,67.2,3996
04013422213,29.4,120400.0,4.99,45.36,67.54,2305
04013422215,29.9,85042.0,12.06,25.47,80.93,2371
04013422216,27.2,90903.0,8.12,47.17,83.86,5434
04013422217,29.2,91250.0,15.38,36.36,79.91,3628
04013422221,29.8,72047.0,4.99,30.31,65.85,4247
04013422222,28.3,121786.0,6.72,59.89,64.78,2203
04013422223,32.6,64500.0,7.39,35.17,72.98,3017
04013422224,,,,,,0
04013422225,,,,,,0
04013422226,,,,,,0
04013422227,30.4,77171.0,9.18,48.08,63.22,1655
04013422301,32.7,68154.0,16.32,20.83,88.36,5812
04013422302,31.2,71983.0,9.51,18.12,76.11,5647
04013422501,31.8,94871.0,6.79,26.21,86.04,6256
04013422502,30.6,85054.0,11.37,28.56,81.97,5909
04013422503,31.1,87926.0,16.3,24.05,72.92,6280
04013422504,29.4,87568.0,11.38,30.85,77.21,5277
04013422513,28.0,110707.0,3.83,25.63,73.41,5112
04013422514,31.5,85335.0,9.55,42.94,73.01,4655
04013422607,26.8,54077.0,0.88,29.5,79.89,3888
04013422609,30.0,72132.0,12.61,25.04,78.84,4161
04013422610,27.1,50486.0,3.07,25.14,84.62,3028
04013422615,30.4,110221.0,4.71,39.75,82.84,7319
04013422617,28.4,121383.0,8.72,40.59,68.27,5886
04013422618,24.2,60813.0,0.63,30.48,89.53,3195
04013422624,28.6,57652.0,3.62,29.81,58.79,2784
04013422625,31.6,51033.0,18.98,12.71,83.52,4739
04013422626,28.7,53278.0,3.11,17.61,78.44,2741
04013422633,31.5,66375.0,13.16,22.22,83.9,3010
04013422634,31.2,55599.0,18.94,19.44,88.86,5750
04013422636,28.6,82813.0,8.26,30.53,79.44,3765
04013422637,28.2,103906.0,14.51,33.35,75.01,3693
04013422638,28.8,66435.0,11.03,36.49,80.4,4407
04013422640,27.3,81302.0,9.35,40.72,72.81,4991
04013422642,29.1,93000.0,4.37,39.15,69.64,5424
04013422643,28.6,108833.0,4.66,30.16,82.2,5938
04013422647,27.3,153355.0,4.21,57.65,61.51,12550
04013422648,27.7,131131.0,5.05,36.98,71.93,6282
04013422649,28.3,128583.0,1.88,32.53,71.87,7294
04013422650,28.1,96827.0,5.85,22.51,76.48,2767
04013422651,29.2,167188.0,4.55,40.52,67.85,4708
04013422652,25.4,76389.0,0.32,38.69,77.81,2517
04013422654,28.7,143819.0,8.44,40.65,68.5,5315
04013422655,29.1,96518.0,7.11,30.63,80.55,3937
04013422659,27.8,76118.0,5.4,30.69,71.8,1778
04013422660,30.0,78873.0,8.54,32.85,73.48,5255
04013522801,,,,,,0
04013522802,30.7,38828.0,19.33,29.05,59.38,1128
04013817600,27.4,139167.0,2.33,53.64,66.14,9733
