fips,obesity_pct,median_income,grocery_per_10k,drove_pct,bachelors_pct,uninsured_pct,grocery_count,population
04013420104,30.5,101172.0,0.0,87.13,31.02,6.44,0,5691
04013420105,27.5,117853.0,1.513,67.98,53.02,2.22,1,6609
04013420107,27.2,146985.0,0.0,58.62,57.21,1.47,0,7067
04013420109,29.0,129375.0,1.541,78.81,41.32,2.34,1,6488
04013420112,29.6,100156.0,0.0,82.77,21.75,12.92,0,3135
04013420113,30.2,45511.0,3.099,76.77,27.98,8.5,1,3227
04013420206,27.8,62500.0,2.655,77.82,31.15,7.65,1,3767
04013420207,26.7,167656.0,0.0,69.55,51.05,0.72,0,2637
04013420208,30.9,106302.0,3.565,75.59,31.56,4.92,2,5610
04013420210,29.5,101344.0,0.0,85.49,31.94,8.77,0,5395
04013420211,27.7,133520.0,2.172,77.25,50.56,5.56,1,4604
04013420212,27.6,100188.0,0.0,78.46,35.77,7.29,0,2885
04013420213,28.3,57566.0,4.773,59.1,35.7,1.1,1,2095
04013420215,29.9,131833.0,2.809,86.72,41.56,5.74,1,3560
04013420216,28.4,74129.0,2.781,73.44,41.04,4.1,1,3596
04013420301,26.4,138580.0,0.0,66.89,59.31,1.24,0,1880
04013420302,29.4,133309.0,0.0,72.83,45.19,7.75,0,4826
04013420303,29.8,110213.0,0.0,76.49,42.2,6.65,0,4632
04013420304,26.7,205833.0,0.0,81.86,44.49,3.68,0,897
04013420401,34.4,57625.0,2.633,85.74,21.99,14.43,1,3798
04013420402,26.9,160000.0,0.0,74.27,51.23,4.43,0,4872
04013420503,32.8,65357.0,0.0,81.65,24.64,7.7,0,3246
04013420504,31.6,86814.0,0.0,77.74,27.4,7.99,0,3704
04013420505,30.0,106375.0,0.0,81.55,33.79,12.16,0,2863
04013420506,32.8,56138.0,0.0,74.62,31.69,14.29,0,3421
04013420602,30.0,123824.0,0.0,83.13,39.83,9.56,0,4826
04013420603,27.6,109107.0,2.364,78.78,41.98,4.51,1,4231
04013420604,27.2,107188.0,2.159,70.42,44.06,6.14,1,4631
04013420704,31.5,101198.0,0.0,74.65,37.05,6.13,0,5646
04013420705,25.4,166458.0,0.0,78.96,56.24,4.08,0,3457
04013420706,28.9,106186.0,1.884,78.19,42.46,8.84,1,5307
04013420707,31.1,60995.0,0.0,81.98,31.68,3.27,0,1832
04013420708,32.6,50934.0,0.0,77.98,19.72,2.65,0,3737
04013420709,30.3,48900.0,0.0,77.26,33.1,4.45,0,3396
04013420710,31.8,58729.0,0.0,84.0,33.14,8.91,0,3356
04013420800,31.3,85396.0,1.958,82.57,28.13,14.61,1,5106
04013420901,33.0,70721.0,0.0,81.82,22.42,14.2,0,3075
04013420902,30.9,101275.0,0.0,89.57,31.13,15.89,0,4147
04013421001,33.8,51601.0,2.411,78.03,27.62,12.4,1,4148
04013421002,32.6,52171.0,2.946,75.18,30.2,18.53,1,3394
04013421101,34.0,78860.0,0.0,84.34,24.4,11.25,0,4713
04013421102,31.7,92745.0,0.0,82.09,32.97,19.7,0,6778
04013421201,29.3,84578.0,1.863,80.93,32.15,8.94,1,5368
04013421202,31.8,93056.0,0.0,69.85,32.02,6.36,0,3691
04013421302,37.0,59015.0,1.687,83.35,22.05,16.67,1,5928
04013421303,32.0,74916.0,2.002,86.16,19.31,20.99,1,4994
04013421304,30.3,52433.0,10.27,68.1,31.7,7.78,4,3895
04013421400,33.4,49958.0,0.0,73.1,32.4,19.44,0,2973
04013421501,38.0,50475.0,4.63,85.06,18.74,9.25,2,4320
04013421502,37.7,55023.0,0.0,83.94,16.34,25.23,0,3977
04013421601,35.6,85795.0,6.337,80.9,20.71,11.6,2,3156
04013421602,37.0,46228.0,2.325,83.95,15.71,30.81,1,4301
04013421701,33.8,58696.0,0.0,78.3,21.71,17.15,0,5290
04013421702,38.4,48647.0,0.0,88.35,24.22,10.04,0,3644
04013421801,31.7,75598.0,0.0,66.6,12.1,23.33,0,2903
04013421802,37.2,68875.0,0.0,83.61,12.79,21.98,0,4396
04013421901,35.0,81821.0,4.487,86.53,13.57,35.7,2,4457
04013421902,41.1,54865.0,1.689,89.04,4.37,32.53,1,5922
04013422001,38.7,58194.0,0.0,93.67,5.98,37.72,0,4157
04013422002,36.8,49774.0,0.0,85.29,13.23,33.16,0,4089
04013422102,34.5,45357.0,2.392,87.26,18.68,15.41,1,4180
04013422103,33.7,52778.0,2.177,82.04,22.23,11.3,1,4594
04013422104,34.7,66726.0,0.0,70.89,26.21,21.05,0,5635
04013422105,31.2,76852.0,3.19,79.16,26.05,17.13,1,3135
04013422106,35.6,58093.0,0.0,76.34,11.41,17.26,0,6090
04013422107,34.0,65766.0,2.179,75.64,35.03,13.51,1,4590
