"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_obesity","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013420104","AZ","04013420104","=""04013420104""","30.5","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420105","AZ","04013420105","=""04013420105""","27.5","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420107","AZ","04013420107","=""04013420107""","27.2","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420109","AZ","04013420109","=""04013420109""","29.0","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420112","AZ","04013420112","=""04013420112""","29.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420113","AZ","04013420113","=""04013420113""","30.2","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420206","AZ","04013420206","=""04013420206""","27.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420207","AZ","04013420207","=""04013420207""","26.7","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420208","AZ","04013420208","=""04013420208""","30.9","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420210","AZ","04013420210","=""04013420210""","29.5","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420211","AZ","04013420211","=""04013420211""","27.7","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420212","AZ","04013420212","=""04013420212""","27.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420213","AZ","04013420213","=""04013420213""","28.3","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420215","AZ","04013420215","=""04013420215""","29.9","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420216","AZ","04013420216","=""04013420216""","28.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420301","AZ","04013420301","=""04013420301""","26.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420302","AZ","04013420302","=""04013420302""","29.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420303","AZ","04013420303","=""04013420303""","29.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420304","AZ","04013420304","=""04013420304""","26.7","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420401","AZ","04013420401","=""04013420401""","34.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420402","AZ","04013420402","=""04013420402""","26.9","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420503","AZ","04013420503","=""04013420503""","32.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420504","AZ","04013420504","=""04013420504""","31.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420505","AZ","04013420505","=""04013420505""","30.0","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420506","AZ","04013420506","=""04013420506""","32.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420602","AZ","04013420602","=""04013420602""","30.0","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420603","AZ","04013420603","=""04013420603""","27.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420604","AZ","04013420604","=""04013420604""","27.2","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420704","AZ","04013420704","=""04013420704""","31.5","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420705","AZ","04013420705","=""04013420705""","25.4","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420706","AZ","04013420706","=""04013420706""","28.9","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420707","AZ","04013420707","=""04013420707""","31.1","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420708","AZ","04013420708","=""04013420708""","32.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420709","AZ","04013420709","=""04013420709""","30.3","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420710","AZ","04013420710","=""04013420710""","31.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420800","AZ","04013420800","=""04013420800""","31.3","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420901","AZ","04013420901","=""04013420901""","33.0","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013420902","AZ","04013420902","=""04013420902""","30.9","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013421001","AZ","04013421001","=""04013421001""","33.8","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013421002","AZ","04013421002","=""04013421002""","32.6","2023","2022","CDC_PLACES","Mesa (City, 2020)"
"Census Tract","04013421101","AZ","04013421101","=""04013421101""","34.0","2023","2022","CDC_PLACES","Mesa (City, 2020)"
