"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","cpop","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013420104","AZ","04013420104","=""04013420104""","5691","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420105","AZ","04013420105","=""04013420105""","6609","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420107","AZ","04013420107","=""04013420107""","7067","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420109","AZ","04013420109","=""04013420109""","6488","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420112","AZ","04013420112","=""04013420112""","3135","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420113","AZ","04013420113","=""04013420113""","3227","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420206","AZ","04013420206","=""04013420206""","3767","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420207","AZ","04013420207","=""04013420207""","2637","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420208","AZ","04013420208","=""04013420208""","5610","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420210","AZ","04013420210","=""04013420210""","5395","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420211","AZ","04013420211","=""04013420211""","4604","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420212","AZ","04013420212","=""04013420212""","2885","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420213","AZ","04013420213","=""04013420213""","2095","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420215","AZ","04013420215","=""04013420215""","3560","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420216","AZ","04013420216","=""04013420216""","3596","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420301","AZ","04013420301","=""04013420301""","1880","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420302","AZ","04013420302","=""04013420302""","4826","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420303","AZ","04013420303","=""04013420303""","4632","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420304","AZ","04013420304","=""04013420304""","897","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420401","AZ","04013420401","=""04013420401""","3798","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420402","AZ","04013420402","=""04013420402""","4872","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420503","AZ","04013420503","=""04013420503""","3246","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420504","AZ","04013420504","=""04013420504""","3704","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420505","AZ","04013420505","=""04013420505""","2863","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420506","AZ","04013420506","=""04013420506""","3421","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420602","AZ","04013420602","=""04013420602""","4826","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420603","AZ","04013420603","=""04013420603""","4231","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420604","AZ","04013420604","=""04013420604""","4631","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420704","AZ","04013420704","=""04013420704""","5646","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420705","AZ","04013420705","=""04013420705""","3457","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420706","AZ","04013420706","=""04013420706""","5307","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420707","AZ","04013420707","=""04013420707""","1832","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420708","AZ","04013420708","=""04013420708""","3737","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420709","AZ","04013420709","=""04013420709""","3396","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420710","AZ","04013420710","=""04013420710""","3356","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420800","AZ","04013420800","=""04013420800""","5106","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420901","AZ","04013420901","=""04013420901""","3075","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420902","AZ","04013420902","=""04013420902""","4147","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421001","AZ","04013421001","=""04013421001""","4148","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421002","AZ","04013421002","=""04013421002""","3394","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421101","AZ","04013421101","=""04013421101""","4713","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421102","AZ","04013421102","=""04013421102""","6778","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421201","AZ","04013421201","=""04013421201""","5368","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421202","AZ","04013421202","=""04013421202""","3691","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421302","AZ","04013421302","=""04013421302""","5928","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421303","AZ","04013421303","=""04013421303""","4994","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421304","AZ","04013421304","=""04013421304""","3895","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421400","AZ","04013421400","=""04013421400""","2973","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421501","AZ","04013421501","=""04013421501""","4320","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013421502","AZ","04013421502","=""04013421502""","3977","2020-2024","2022","Census","Mesa (City, 2020)"
