"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"TASAN INCORPORATED","3901 W Southern Ave","","Phoenix","AZ","85041","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"TRADER JOE'S CHANDLER 287","3961 S Arizona Ave","","Chandler","AZ","85248","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
"Taco Bell #141","3517 W Glendale Ave","","Phoenix","AZ","85051","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Taco Bell #29492","1125 S Dobson Rd","","Mesa","AZ","85202","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Taco Bell #29494","917 N Dobson Rd","","Mesa","AZ","85201","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Taco Bell 32728","4304 W Indian School Rd","","Phoenix","AZ","85031","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Taco Bell 32735","7449 W Indian School Rd","","Phoenix","AZ","85033","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Taco Bell 32736","1860 N 75th Ave","","Phoenix","AZ","85035","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Tacos Don Hector","5025 W Olive Ave","","Glendale","AZ","85302","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Tala Bakery","2507 E Bell Rd","","Phoenix","AZ","85032","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Tan Hua Inc","66 S Dobson Rd","Ste 116","Mesa","AZ","85202","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Taqueria La Korita LLC","4131 N 27th Ave","","Phoenix","AZ","85017","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Target 3261","1625 E Camelback Rd","","Phoenix","AZ","85016","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Target Store T-0233","12602 N Paradise Village Pkwy W","","Phoenix","AZ","85032","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Target Store T-0251","1135 S Gilbert Rd","","Mesa","AZ","85204","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Target Store T-0319","1818 E Baseline Rd","","Tempe","AZ","85283","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Target Store T-0363","9000 E Indian Bend Rd","","Scottsdale","AZ","85250","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
