"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mhhinc","TimeFrame","GeoVintage","Layer_Source","store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Point_Source","Location"
"Census Tract","04013116606","AZ","04013116606","=""04013116606""","76021","2020-2024","2022","Census","TASAN INCORPORATED","3901 W Southern Ave","","Phoenix","AZ","85041","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116718","AZ","04013116718","=""04013116718""","77025","2020-2024","2022","Census","Target Store T-0909","4734 E Ray Rd","","Phoenix","AZ","85044","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116300","AZ","04013116300","=""04013116300""","64457","2020-2024","2022","Census","Target Store T-1905","2140 E Baseline Rd","","Phoenix","AZ","85042","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116712","AZ","04013116712","=""04013116712""","89068","2020-2024","2022","Census","Trader Joe's 177","4025 E Chandler Blvd Ste 38","","Phoenix","AZ","85048","MARICOPA","Supermarket","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116500","AZ","04013116500","=""04013116500""","65701","2020-2024","2022","Census","WBF AZ LLC McDonalds 23290","6005 E Central Ave","","Phoenix","AZ","85042","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116203","AZ","04013116203","=""04013116203""","84144","2020-2024","2022","Census","WBF AZ LLC McDonalds 25250","2430 Baseline Rd","","Phoenix","AZ","85042","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013115200","AZ","04013115200","=""04013115200""","57281","2020-2024","2022","Census","WBF AZ LLC McDonalds 26394","3130 E Broadway Rd","","Phoenix","AZ","85040","MARICOPA","Restaurant Meals Program","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116100","AZ","04013116100","=""04013116100""","45242","2020-2024","2022","Census","WONGS MINI MART","2803 E Broadway Rd","","Phoenix","AZ","85040","MARICOPA","Convenience Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116721","AZ","04013116721","=""04013116721""","108750","2020-2024","2022","Census","Walgreens 04046","3960 E Chandler Blvd","","Phoenix","AZ","85048","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116725","AZ","04013116725","=""04013116725""","112569","2020-2024","2022","Census","Walgreens 05569","1315 E Chandler Blvd","","Phoenix","AZ","85048","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116619","AZ","04013116619","=""04013116619""","120368","2020-2024","2022","Census","Walgreens 09179","5115 W Baseline Rd","","Laveen","AZ","85339","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116607","AZ","04013116607","=""04013116607""","95800","2020-2024","2022","Census","Walgreens 10111","3434 W Southern Ave","","Phoenix","AZ","85041","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116708","AZ","04013116708","=""04013116708""","87521","2020-2024","2022","Census","Walgreens 13870","4875 E Elliot Rd","","Phoenix","AZ","85044","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116203","AZ","04013116203","=""04013116203""","84144","2020-2024","2022","Census","Walgreens 4422","3945 E Southern Ave","","Phoenix","AZ","85040","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116203","AZ","04013116203","=""04013116203""","84144","2020-2024","2022","Census","Walgreens 6535","2420 E Baseline Rd","","Phoenix","AZ","85042","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116736","AZ","04013116736","=""04013116736""","49704","2020-2024","2022","Census","Walgreens 6697","7606 S 7th St","","Phoenix","AZ","85042","MARICOPA","Other","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116606","AZ","04013116606","=""04013116606""","76021","2020-2024","2022","Census","Walmart 3771","6150 S 35TH AVE","","PHOENIX","AZ","85041","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
"Census Tract","04013116738","AZ","04013116738","=""04013116738""","120326","2020-2024","2022","Census","Walmart 4293","2435 E BASELINE RD","","PHOENIX","AZ","85042","MARICOPA","Super Store","","","USDA","Maricopa (County, 2022)"
