"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ppopwoins","TimeFrame","GeoVintage","Source","Location"
"Census Tract","04013420104","AZ","04013420104","=""04013420104""","6.44","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420105","AZ","04013420105","=""04013420105""","2.22","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420107","AZ","04013420107","=""04013420107""","1.47","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420109","AZ","04013420109","=""04013420109""","2.34","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420112","AZ","04013420112","=""04013420112""","12.92","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420113","AZ","04013420113","=""04013420113""","8.50","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420206","AZ","04013420206","=""04013420206""","7.65","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420207","AZ","04013420207","=""04013420207""","0.72","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420208","AZ","04013420208","=""04013420208""","4.92","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420210","AZ","04013420210","=""04013420210""","8.77","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420211","AZ","04013420211","=""04013420211""","5.56","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420212","AZ","04013420212","=""04013420212""","7.29","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420213","AZ","04013420213","=""04013420213""","1.10","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420215","AZ","04013420215","=""04013420215""","5.74","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420216","AZ","04013420216","=""04013420216""","4.10","2020-2024","2022","Census","Mesa (City, 2020)"
"Census Tract","04013420301","AZ","04013420301","=""04013420301""","1.24","2020-2024","2022","Census","Mesa (City, 2020)"
